TransactionType,Channel,TransactionAmount,CustomerAge,TransactionDuration,AccountBalance,Cluster
Debit,ATM,14.09,70.0,81.0,5112.21,3
Debit,ATM,376.24,68.0,141.0,13758.91,3
Debit,Online,126.28999999999999,19.0,56.0,1122.35,0
Debit,Online,184.5,26.0,25.000000000000004,8569.06,0
Credit,Online,13.45,26.0,198.0,7429.4,4
Debit,ATM,92.15,18.0,172.0,781.68,3
Credit,ATM,7.080000000000001,37.0,139.0,13316.71,4
Credit,Branch,171.42,67.0,291.0,2796.24,2
Credit,Branch,106.23,51.0,86.0,9095.14,2
Debit,ATM,815.96,55.0,120.0,1021.8800000000001,3
Credit,Online,17.78,52.0,59.00000000000001,7599.5199999999995,4
Debit,Online,190.02,21.0,173.0,1528.81,0
Credit,Branch,494.52,24.0,111.0,1620.02,2
Debit,ATM,781.76,26.0,123.0,189.69,3
Debit,Online,166.99,18.0,134.0,299.93,0
Debit,ATM,465.44999999999993,36.0,129.0,3465.54,3
Credit,Branch,555.8,19.0,158.0,1131.26,2
Debit,Online,492.92999999999995,39.0,234.0,5109.97,0
Credit,Branch,18.68,59.0,106.0,7948.369999999999,2
Credit,Online,71.48,18.0,169.0,6568.59,4
Debit,Branch,59.32,71.0,37.99999999999999,5750.89,1
Debit,Branch,85.77,38.0,93.0,9146.19,1
Debit,Online,52.2,39.0,120.0,8974.93,0
Debit,Online,345.84,22.0,142.0,1402.5,0
Debit,Online,145.54,21.0,96.0,1930.96,0
Credit,Online,7.49,65.0,276.0,3634.67,4
Debit,ATM,246.93000000000004,23.0,158.0,673.3499999999999,3
Debit,Branch,40.32,37.0,95.0,2686.52,1
Debit,Online,127.45000000000002,44.0,197.0,1772.06,0
Debit,Branch,56.17,27.0,283.0,1351.69,1
Credit,Online,28.310000000000002,59.0,20.0,8334.47,4
Debit,ATM,59.11999999999999,29.0,257.0,9823.64,3
Debit,ATM,396.45,49.0,168.00000000000003,9690.15,3
Debit,Online,877.81,22.0,150.0,399.0,0
Credit,Branch,255.26,45.0,50.00000000000001,14815.87,2
Debit,Branch,124.75999999999999,49.0,45.0,5764.72,1
Debit,Branch,78.13,26.0,145.0,900.61,1
Debit,ATM,649.28,75.0,137.0,4875.86,3
Debit,ATM,795.31,66.0,90.0,7914.879999999999,3
Debit,Online,335.63,55.0,215.99999999999997,1019.39,0
Debit,ATM,328.47,63.0,119.0,4323.66,3
Debit,Online,34.02,38.0,18.999999999999996,14214.48,0
Credit,Online,241.42,57.0,116.00000000000001,13357.02,4
Debit,ATM,55.32,19.0,117.0,241.79000000000002,3
Debit,Branch,304.31,27.0,33.0,868.61,1
Debit,Branch,435.27,74.0,90.0,4673.28,1
Debit,Branch,164.49,26.0,75.0,1509.27,1
Debit,Online,510.24,19.0,105.0,781.7,0
Debit,Online,626.9,26.0,138.0,265.51,0
